draw,rc,term,estimate,raw_gap,N
16,0,pr_0,.1629987475398103,-.0864362570638559,17536
16,0,pr_1,.2494350046036662,-.0864362570638559,17536
17,0,edu,-.0035961477982729,-.0292970902344072,11810
17,0,plants,-.008810523712651,-.0292970902344072,11810
17,0,age,.0013012130418123,-.0292970902344072,11810
17,0,gender,-.0002218541286494,-.0292970902344072,11810
17,0,marriage,.0003296214727634,-.0292970902344072,11810
17,0,ln_income,-4.00861551757e-06,-.0292970902344072,11810
17,0,health,-.0021053295162867,-.0292970902344072,11810
17,0,sportsArea,.0053764437682586,-.0292970902344072,11810
17,0,year14,-.0027320313194856,-.0292970902344072,11810
17,0,rice10,-.0533618789157798,-.0292970902344072,11810
17,0,ln_gdp_hist,.0321955680259411,-.0292970902344072,11810
17,0,urban2000_10,.0053173951734605,-.0292970902344072,11810
17,0,diff,-.0292970902344072,-.0292970902344072,11810
17,0,expl,-.0261925598342005,-.0292970902344072,11810
17,0,pr_0,.1625415589213151,-.0292970902344072,11810
17,0,pr_1,.1918386491557223,-.0292970902344072,11810
18,0,edu,-.0028621828907523,-.0162220062102685,15695
18,0,plants,.0182605115695207,-.0162220062102685,15695
18,0,age,-.0006019964012565,-.0162220062102685,15695
18,0,gender,-.0001647538357692,-.0162220062102685,15695
18,0,marriage,-.0013744473563691,-.0162220062102685,15695
18,0,ln_income,.0000274999645415,-.0162220062102685,15695
18,0,health,-.0003870796486027,-.0162220062102685,15695
18,0,sportsArea,.0036677296568033,-.0162220062102685,15695
18,0,year14,-.0041848890916765,-.0162220062102685,15695
18,0,rice10,-.0490556273981747,-.0162220062102685,15695
18,0,ln_gdp_hist,.0193120362437202,-.0162220062102685,15695
18,0,urban2000_10,-.0033134231785588,-.0162220062102685,15695
18,0,diff,-.0162220062102685,-.0162220062102685,15695
18,0,expl,-.0206856653942468,-.0162220062102685,15695
18,0,pr_0,.157951872625294,-.0162220062102685,15695
18,0,pr_1,.1741738788355625,-.0162220062102685,15695
19,0,edu,-.0015389281259209,-.0107376065262062,13744
